CD_UNID;NOME_UNID;CD_USO_CTB;DESCR_USO_CTB;CD_DEPO;DESCR_DEPO;CD_LOCAL_FISIC;DESCR_LOCAL_FISIC;CD_ITEM;CD_EMBALAGEM;DESCR_ITEM;CD_OPERACAO;DESCR_OPERACAO;CD_UNID_MEDIDA;QTDE_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ_REAV;CD_UNID_BAIXA;CD_CENTRO_ATIV;CD_USU_CRIOU;CD_USU_ATEND;OBS RM;OBS ITEM
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;63676;UN;ROLAMENTO 6206 ZZC3 NSK / SKF;159;CONSUMO NA MANUTENCAO;UN;-1;-16,9;-16,9;92;1228;ANDRE-LUIZ;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;63691;UN;ARRUELA LISA INOX M12;159;CONSUMO NA MANUTENCAO;UN;-2;-0,89;-0,89;92;2291;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;64332;UN;ANEL ELASTICO I-100;159;CONSUMO NA MANUTENCAO;UN;-2;-9,91;-9,91;92;4669;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;65575;UN;"RODIZIO FIXO INOX 3"" C/RODA NYLON 75X32MM S/FREIO P/170KG";159;CONSUMO NA MANUTENCAO;UN;-2;-138,84;-138,84;92;2739;SILVANEI-FERREIRA;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;66317;UN;ARRUELA PRESSAO INOX M6;159;CONSUMO NA MANUTENCAO;UN;-2;-0,14;-0,14;92;2291;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;67411;UN;ROLAMENTO 6806-DDU SKF;159;CONSUMO NA MANUTENCAO;UN;-1;-33,32;-33,32;92;2488;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;68166;UN;PARAFUSO ALLEN INOX M6X50MM ROSCA PARCIAL;159;CONSUMO NA MANUTENCAO;UN;-2;-1,82;-1,82;92;2291;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;82913;UN;CX.P/BOTOEIRA 1FURO 22MM CIINZA COD.3SB78110AA100BA0,SIEMENS;159;CONSUMO NA MANUTENCAO;UN;-1;-27,59;-27,59;92;4057;WILLIAM-GARCIA;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;83278;UN;BOTAO COGUMELO EMERGENCIA GIRAR P/SOLTAR 22MM 1NF FURO 22MM;159;CONSUMO NA MANUTENCAO;UN;-1;-24,99;-24,99;92;2291;WILLIAM-GARCIA;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;84378;UN;BASE FICACAO BOTAO 22MM COD.ZB5AZ009,SCHNEIDER;159;CONSUMO NA MANUTENCAO;UN;-1;-15,98;-15,98;92;2224;ALIMA;FELIPE-CANALLI;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;88064;UN;"TORNEIRA BOIA PLASTICO 2""";159;CONSUMO NA MANUTENCAO;UN;-2;-399,12;-399,12;92;1210;RAFAEL-SURRASKI;JOAOVF;;
